seed,gridsize,ncount,method,runtime
71,5000,24,2,0.257863
71,5000,24,3,492.657757
71,5000,24,4,0.004043
71,5000,24,5,104.402862
71,5000,24,6,7.243534
80,5000,25,2,
80,5000,25,3,
80,5000,25,4,0.359758
80,5000,25,5,219.720836
80,5000,25,6,15.722631
46,100,20,2,0.120221
46,100,20,3,18.431582
46,100,20,4,0.002999
46,100,20,5,3.273074
46,100,20,6,0.306318
72,100,21,2,0.157162
72,100,21,3,60.618986
72,100,21,4,0.01363
72,100,21,5,7.812263
72,100,21,6,0.680738
43,100,22,2,59.855455
43,100,22,3,65.384562
43,100,22,4,0.064468
43,100,22,5,18.408577
43,100,22,6,1.48336
21,100,23,2,5.485127
21,100,23,3,294.059939
21,100,23,4,3.857059
21,100,23,5,41.228147
21,100,23,6,46.965079
68,100,24,2,0.099329
68,100,24,3,
68,100,24,4,2.456529
68,100,24,5,91.18609
68,100,24,6,14.265569
91,100,25,2,31.974311
91,100,25,3,
91,100,25,4,0.008232
91,100,25,5,224.206579
91,100,25,6,69.420849
4,1000,20,2,0.337019
4,1000,20,3,55.944046
4,1000,20,4,5.947888
4,1000,20,5,3.302959
4,1000,20,6,0.309381
81,1000,21,2,0.063377
81,1000,21,3,118.499984
81,1000,21,4,0.003203
81,1000,21,5,8.107675
81,1000,21,6,0.673505
51,1000,22,2,11.861415
51,1000,22,3,91.621753
51,1000,22,4,0.011027
51,1000,22,5,18.506695
51,1000,22,6,1.482959
89,1000,23,2,54.594593
89,1000,23,3,99.921422
89,1000,23,4,0.005445
89,1000,23,5,41.615335
89,1000,23,6,3.310252
71,1000,24,2,91.333451
71,1000,24,3,
71,1000,24,4,0.005713
71,1000,24,5,99.396308
71,1000,24,6,7.195389
65,1000,25,2,16.667513
65,1000,25,3,
65,1000,25,4,0.584456
65,1000,25,5,270.30994
65,1000,25,6,15.782227
31,5000,20,2,4.493594
31,5000,20,3,8.233672
31,5000,20,4,0.003189
31,5000,20,5,3.196252
31,5000,20,6,0.303231
52,5000,21,2,0.195076
52,5000,21,3,75.789031
52,5000,21,4,0.855905
52,5000,21,5,6.930294
52,5000,21,6,15.983795
97,5000,22,2,2.651043
97,5000,22,3,119.825147
97,5000,22,4,0.021817
97,5000,22,5,17.037187
97,5000,22,6,3.933745
96,5000,23,2,1.24953
96,5000,23,3,256.440642
96,5000,23,4,1.310101
96,5000,23,5,48.94346
96,5000,23,6,3.290461
92,5000,24,2,1.104447
92,5000,24,3,
92,5000,24,4,5.00197
92,5000,24,5,88.239707
92,5000,24,6,
77,5000,25,2,22.524169
77,5000,25,3,
77,5000,25,4,0.25614
77,5000,25,5,217.820899
77,5000,25,6,42.849526
74,100,20,2,0.001341
74,100,20,3,8.158091
74,100,20,4,0.002259
74,100,20,5,2.914007
74,100,20,6,0.305226
44,100,21,2,0.360193
44,100,21,3,19.006737
44,100,21,4,0.003196
44,100,21,5,6.951778
44,100,21,6,0.683711
84,100,22,2,0.122485
84,100,22,3,80.580185
84,100,22,4,0.003022
84,100,22,5,18.856205
84,100,22,6,1.496001
42,100,23,2,0.847074
42,100,23,3,98.998762
42,100,23,4,0.005731
42,100,23,5,42.605963
42,100,23,6,7.412904
73,100,24,2,5.153167
73,100,24,3,
73,100,24,4,0.417259
73,100,24,5,95.210385
73,100,24,6,7.289552
26,100,25,2,95.565915
26,100,25,3,
26,100,25,4,0.007797
26,100,25,5,233.04639
26,100,25,6,16.146627
27,1000,20,2,1.585459
27,1000,20,3,8.620451
27,1000,20,4,0.004296
27,1000,20,5,3.401467
27,1000,20,6,0.308399
31,1000,21,2,184.618527
31,1000,21,3,104.303198
31,1000,21,4,0.01237
31,1000,21,5,7.404104
31,1000,21,6,45.075246
27,1000,22,2,33.085116
27,1000,22,3,214.44107
27,1000,22,4,0.410359
27,1000,22,5,18.294206
27,1000,22,6,1.510294
57,1000,23,2,1.4001
57,1000,23,3,245.506776
57,1000,23,4,12.896428
57,1000,23,5,41.850325
57,1000,23,6,3.345792
97,1000,24,2,3.039406
97,1000,24,3,
97,1000,24,4,0.004947
97,1000,24,5,101.593404
97,1000,24,6,7.319825
62,1000,25,2,6.444504
62,1000,25,3,
62,1000,25,4,10.339115
62,1000,25,5,211.996525
62,1000,25,6,29.877055
45,5000,20,2,29.090209
45,5000,20,3,151.236286
45,5000,20,4,0.003749
45,5000,20,5,3.515524
45,5000,20,6,0.311785
4,5000,21,2,4.323402
4,5000,21,3,20.303677
4,5000,21,4,0.004948
4,5000,21,5,8.205165
