seed,gridsize,ncount,method,runtime
73,1000,18,4,0.004101
73,1000,18,5,0.272973
73,1000,18,6,0.059581
70,1000,19,1,
70,1000,19,2,3.653988
70,1000,19,3,3.420559
70,1000,19,4,0.003453
70,1000,19,5,1.222096
70,1000,19,6,0.13556
61,5000,5,1,0.000002
61,5000,5,2,0.003358
61,5000,5,3,0.000025
61,5000,5,4,0.001228
61,5000,5,5,0.000005
61,5000,5,6,0.000006
97,5000,6,1,0.000004
97,5000,6,2,0.005904
97,5000,6,3,0.000044
97,5000,6,4,0.001344
97,5000,6,5,0.000007
97,5000,6,6,0.000008
60,5000,7,1,0.000019
60,5000,7,2,0.009025
60,5000,7,3,0.000094
60,5000,7,4,0.001283
60,5000,7,5,0.000017
60,5000,7,6,0.000012
6,5000,8,1,0.000071
6,5000,8,2,0.149619
6,5000,8,3,0.000212
6,5000,8,4,0.001744
6,5000,8,5,0.000033
6,5000,8,6,0.000023
96,5000,9,1,0.000382
96,5000,9,2,0.065355
96,5000,9,3,0.000497
96,5000,9,4,0.001562
96,5000,9,5,0.000072
96,5000,9,6,0.000042
84,5000,10,1,0.002744
84,5000,10,2,0.016554
84,5000,10,3,0.001262
84,5000,10,4,0.001389
84,5000,10,5,0.000158
84,5000,10,6,0.00009
43,5000,11,1,0.03546
43,5000,11,2,0.009899
43,5000,11,3,0.003047
43,5000,11,4,0.001468
43,5000,11,5,0.000364
43,5000,11,6,0.000198
73,5000,12,1,0.019685
73,5000,12,2,0.010486
73,5000,12,3,0.007378
73,5000,12,4,0.001432
73,5000,12,5,0.000868
73,5000,12,6,0.000452
18,5000,13,1,0.28319
18,5000,13,2,3.032069
18,5000,13,3,0.017342
18,5000,13,4,0.001988
18,5000,13,5,0.002279
18,5000,13,6,0.001025
31,5000,14,1,0.317615
31,5000,14,2,1.405385
31,5000,14,3,0.043416
31,5000,14,4,0.002191
31,5000,14,5,0.005653
31,5000,14,6,0.002405
59,5000,15,1,22.743518
59,5000,15,2,150.166384
59,5000,15,3,0.104816
59,5000,15,4,0.002713
59,5000,15,5,0.014587
59,5000,15,6,0.005352
4,5000,16,1,36.043024
4,5000,16,2,3.905169
4,5000,16,3,0.258141
4,5000,16,4,0.002932
4,5000,16,5,0.03989
4,5000,16,6,0.011979
5,5000,17,1,225.776286
5,5000,17,2,2.171691
5,5000,17,3,0.630289
5,5000,17,4,0.002352
5,5000,17,5,0.09804
5,5000,17,6,0.026947
73,5000,18,1,73.017793
73,5000,18,2,0.342247
73,5000,18,3,1.600071
73,5000,18,4,0.002497
73,5000,18,5,0.438563
73,5000,18,6,0.060501
59,5000,19,1,
59,5000,19,2,
59,5000,19,3,8.496719
59,5000,19,4,0.266703
59,5000,19,5,12.964102
59,5000,19,6,2.152449
16,100,5,1,0.000002
16,100,5,2,0.000134
16,100,5,3,0.000025
16,100,5,4,0.001302
16,100,5,5,0.000008
16,100,5,6,0.000007
72,100,6,1,0.000004
72,100,6,2,0.000161
72,100,6,3,0.000049
72,100,6,4,0.001787
72,100,6,5,0.000008
72,100,6,6,0.000008
82,100,7,1,0.00002
82,100,7,2,0.000309
82,100,7,3,0.000108
82,100,7,4,0.001129
82,100,7,5,0.000017
82,100,7,6,0.000015
88,100,8,1,0.000086
88,100,8,2,0.000231
88,100,8,3,0.000238
88,100,8,4,0.001696
88,100,8,5,0.000037
88,100,8,6,0.000026
12,100,9,1,0.000239
12,100,9,2,0.005631
12,100,9,3,0.000531
12,100,9,4,0.0016
12,100,9,5,0.000069
12,100,9,6,0.000044
50,100,10,1,0.003562
50,100,10,2,0.043942
50,100,10,3,0.00127
50,100,10,4,0.001327
50,100,10,5,0.000166
50,100,10,6,0.00009
36,100,11,1,0.006517
36,100,11,2,0.055173
36,100,11,3,0.00307
36,100,11,4,0.00145
36,100,11,5,0.000371
36,100,11,6,0.000204
92,100,12,1,0.02586
92,100,12,2,0.003715
92,100,12,3,0.007334
92,100,12,4,0.001556
92,100,12,5,0.000888
92,100,12,6,0.000463
47,100,13,1,0.311422
47,100,13,2,0.001367
47,100,13,3,0.017465
47,100,13,4,0.001374
47,100,13,5,0.002185
47,100,13,6,0.001046
52,100,14,1,0.339941
52,100,14,2,0.012708
52,100,14,3,0.041824
52,100,14,4,0.002085
52,100,14,5,0.005655
52,100,14,6,0.002392
57,100,15,1,10.961826
57,100,15,2,0.001461
57,100,15,3,0.099917
57,100,15,4,0.00174
57,100,15,5,0.014142
57,100,15,6,0.005321
63,100,16,1,9.355777
63,100,16,2,2.3191
63,100,16,3,0.238848
63,100,16,4,0.002981
63,100,16,5,0.037191
63,100,16,6,0.011989
67,100,17,1,49.019242
67,100,17,2,0.036278
67,100,17,3,0.596981
67,100,17,4,0.002433
67,100,17,5,0.091361
67,100,17,6,0.026776
61,100,18,1,
61,100,18,2,0.222216
61,100,18,3,1.332179
61,100,18,4,0.003372
61,100,18,5,0.255801
61,100,18,6,0.059183
91,100,19,1,
91,100,19,2,3.431873
91,100,19,3,3.142358
91,100,19,4,0.003279
