seed,gridsize,ncount,method,besttour,runtime
12,1000,26,4,4273,0.003306
12,1000,26,6,4273,15.039354
100,1000,27,2,4760,5.588659
100,1000,27,4,4384,0.017655
100,1000,27,6,4384,36.496144
76,1000,28,2,4905,7.418567
76,1000,28,4,4788,0.561629
76,1000,28,6,,
90,1000,29,2,4831,4.360559
90,1000,29,4,4324,0.010601
90,1000,29,6,,
40,1000,30,2,4501,33.502993
40,1000,30,4,4249,0.006512
40,1000,30,6,,
72,1000,31,2,5475,0.580444
72,1000,31,4,5121,0.005542
72,1000,31,6,,
36,1000,32,2,,
36,1000,32,4,4464,0.00671
36,1000,32,6,,
18,5000,26,2,22481,57.38038
18,5000,26,4,20331,0.002946
18,5000,26,6,20331,15.031114
55,5000,27,2,25984,0.461405
55,5000,27,4,23791,0.003087
55,5000,27,6,23791,32.309909
68,5000,28,2,23944,1.284206
68,5000,28,4,21497,0.003867
68,5000,28,6,21497,69.495266
13,5000,29,2,20804,34.830735
13,5000,29,4,20507,0.006805
13,5000,29,6,,
18,5000,30,2,,
18,5000,30,4,21707,0.006319
18,5000,30,6,,
67,5000,31,2,24593,34.828635
67,5000,31,4,23091,0.005992
67,5000,31,6,,
47,5000,32,2,25001,47.974864
47,5000,32,4,21859,0.012211
47,5000,32,6,,
9,100,26,2,541,1.386012
9,100,26,4,484,0.004171
9,100,26,6,484,16.31115
5,100,27,2,485,2.603894
5,100,27,4,441,0.015152
5,100,27,6,,
22,100,28,2,469,6.869704
22,100,28,4,456,0.015754
22,100,28,6,,
46,100,29,2,611,1.697501
46,100,29,4,474,0.311672
46,100,29,6,,
88,100,30,2,473,2.629069
88,100,30,4,417,0.005818
88,100,30,6,,
10,100,31,2,433,53.597621
10,100,31,4,418,0.005117
10,100,31,6,,
5,100,32,2,500,345.328656
5,100,32,4,459,0.014731
5,100,32,6,,
85,1000,26,2,4238,2.84434
85,1000,26,4,4063,0.003465
85,1000,26,6,4063,15.082277
2,1000,27,2,3989,0.240139
2,1000,27,4,3833,0.002576
2,1000,27,6,3833,32.452633
57,1000,28,2,5498,3.418986
57,1000,28,4,4775,0.003116
57,1000,28,6,,
28,1000,29,2,4924,371.069317
28,1000,29,4,4310,0.012563
28,1000,29,6,,
85,1000,30,2,4570,35.344762
85,1000,30,4,4371,0.004604
85,1000,30,6,,
49,1000,31,2,4281,2.188489
49,1000,31,4,4225,0.00395
49,1000,31,6,,
25,1000,32,2,,
25,1000,32,4,4706,0.010668
25,1000,32,6,,
60,5000,26,2,24020,3.015018
60,5000,26,4,21882,0.070555
60,5000,26,6,21882,15.016222
42,5000,27,2,22709,296.751366
42,5000,27,4,21107,0.006177
42,5000,27,6,21107,32.310368
37,5000,28,2,25993,24.308276
37,5000,28,4,23414,0.00379
37,5000,28,6,23414,69.454132
39,5000,29,2,23863,18.022772
39,5000,29,4,22106,0.003936
39,5000,29,6,,
1,5000,30,2,25626,8.432155
1,5000,30,4,24399,0.004279
1,5000,30,6,,
86,5000,31,2,24810,58.25451
86,5000,31,4,23147,0.007217
86,5000,31,6,,
75,5000,32,2,22431,6.17996
75,5000,32,4,21696,0.005567
75,5000,32,6,,
42,100,26,2,442,13.085919
42,100,26,4,421,0.005194
42,100,26,6,421,15.117623
32,100,27,2,540,2.213178
32,100,27,4,502,0.023802
32,100,27,6,502,32.509135
