seed,gridsize,ncount,method,runtime
83,1000,15,5,0.007803
83,1000,15,6,0.002624
54,1000,16,1,39.85597
54,1000,16,2,0.032791
54,1000,16,3,0.169756
54,1000,16,4,0.00244
54,1000,16,5,0.017495
54,1000,16,6,0.00591
85,1000,17,1,37.883141
85,1000,17,2,0.091065
85,1000,17,3,0.40151
85,1000,17,4,0.001512
85,1000,17,5,0.039193
85,1000,17,6,0.013155
13,1000,18,1,165.066198
13,1000,18,2,0.025581
13,1000,18,3,0.918739
13,1000,18,4,0.001524
13,1000,18,5,0.111351
13,1000,18,6,0.029295
94,1000,19,1,
94,1000,19,2,0.549787
94,1000,19,3,2.12886
94,1000,19,4,0.002567
94,1000,19,5,0.398955
94,1000,19,6,0.0649
72,5000,5,1,0.000001
72,5000,5,2,0.001437
72,5000,5,3,0.000016
72,5000,5,4,0.00063
72,5000,5,5,0.000003
72,5000,5,6,0.000004
25,5000,6,1,0.000002
25,5000,6,2,0.001284
25,5000,6,3,0.00003
25,5000,6,4,0.000521
25,5000,6,5,0.000005
25,5000,6,6,0.000004
86,5000,7,1,0.000009
86,5000,7,2,0.004056
86,5000,7,3,0.000071
86,5000,7,4,0.000525
86,5000,7,5,0.000009
86,5000,7,6,0.000006
2,5000,8,1,0.000048
2,5000,8,2,0.010183
2,5000,8,3,0.000166
2,5000,8,4,0.000641
2,5000,8,5,0.000021
2,5000,8,6,0.000012
56,5000,9,1,0.00024
56,5000,9,2,0.241173
56,5000,9,3,0.000405
56,5000,9,4,0.000856
56,5000,9,5,0.000048
56,5000,9,6,0.000021
23,5000,10,1,0.001291
23,5000,10,2,0.034372
23,5000,10,3,0.001009
23,5000,10,4,0.000705
23,5000,10,5,0.000111
23,5000,10,6,0.000043
9,5000,11,1,0.004935
9,5000,11,2,0.121367
9,5000,11,3,0.002368
9,5000,11,4,0.000786
9,5000,11,5,0.000272
9,5000,11,6,0.000094
60,5000,12,1,0.022805
60,5000,12,2,0.036452
60,5000,12,3,0.005571
60,5000,12,4,0.000784
60,5000,12,5,0.00064
60,5000,12,6,0.000216
6,5000,13,1,0.116583
6,5000,13,2,0.047707
6,5000,13,3,0.013135
6,5000,13,4,0.000877
6,5000,13,5,0.0015
6,5000,13,6,0.000496
45,5000,14,1,0.316839
45,5000,14,2,0.160708
45,5000,14,3,0.030785
45,5000,14,4,0.001029
45,5000,14,5,0.003409
45,5000,14,6,0.001158
29,5000,15,1,1.949223
29,5000,15,2,0.447295
29,5000,15,3,0.072019
29,5000,15,4,0.001167
29,5000,15,5,0.007836
29,5000,15,6,0.002627
9,5000,16,1,12.088446
9,5000,16,2,2.301689
9,5000,16,3,0.16996
9,5000,16,4,0.001933
9,5000,16,5,0.017559
9,5000,16,6,0.005912
72,5000,17,1,37.826799
72,5000,17,2,3.773489
72,5000,17,3,0.400454
72,5000,17,4,0.001374
72,5000,17,5,0.039381
72,5000,17,6,0.01324
67,5000,18,1,
67,5000,18,2,2.271135
67,5000,18,3,0.929212
67,5000,18,4,0.001796
67,5000,18,5,0.11143
67,5000,18,6,0.029391
27,5000,19,1,
27,5000,19,2,5.139258
27,5000,19,3,2.150795
27,5000,19,4,0.003141
27,5000,19,5,0.380736
27,5000,19,6,0.065167
43,100,20,2,6.342291
43,100,20,3,4.907748
43,100,20,4,0.001761
43,100,20,5,0.899091
43,100,20,6,0.143499
55,100,21,2,0.394445
55,100,21,3,11.185727
55,100,21,4,0.002197
55,100,21,5,2.059443
55,100,21,6,0.313867
97,100,22,2,0.003479
97,100,22,3,25.342073
97,100,22,4,0.001378
97,100,22,5,5.117762
97,100,22,6,0.685388
38,100,23,2,0.295673
38,100,23,3,56.809162
38,100,23,4,0.002157
38,100,23,5,11.140544
38,100,23,6,1.493678
10,100,24,2,0.151765
10,100,24,3,
10,100,24,4,0.179927
10,100,24,5,25.911329
10,100,24,6,3.232466
26,100,25,2,62.987004
26,100,25,3,
26,100,25,4,1.536715
26,100,25,5,56.605871
26,100,25,6,6.983494
65,1000,20,2,0.118991
65,1000,20,3,4.872268
65,1000,20,4,1.479612
65,1000,20,5,0.97259
65,1000,20,6,0.143464
71,1000,21,2,5.360008
71,1000,21,3,11.07996
71,1000,21,4,0.00282
71,1000,21,5,2.175875
71,1000,21,6,0.312632
63,1000,22,2,14.442085
63,1000,22,3,132.076949
63,1000,22,4,0.455781
63,1000,22,5,4.9399
63,1000,22,6,0.689195
6,1000,23,2,1.045532
6,1000,23,3,58.059387
6,1000,23,4,0.003353
6,1000,23,5,10.861974
6,1000,23,6,1.492959
53,1000,24,2,0.041659
53,1000,24,3,
53,1000,24,4,0.363297
53,1000,24,5,27.010394
53,1000,24,6,3.238274
19,1000,25,2,19.036903
19,1000,25,3,
19,1000,25,4,0.734767
19,1000,25,5,58.715926
19,1000,25,6,7.016716
36,5000,20,2,0.177878
36,5000,20,3,5.012089
36,5000,20,4,0.002334
36,5000,20,5,0.939303
36,5000,20,6,0.144544
78,5000,21,2,2.543418
78,5000,21,3,11.285955
78,5000,21,4,0.00223
78,5000,21,5,2.075664
78,5000,21,6,0.314943
32,5000,22,2,51.079518
32,5000,22,3,34.012993
32,5000,22,4,0.00285
32,5000,22,5,4.996679
32,5000,22,6,0.695281
19,5000,23,2,0.747678
19,5000,23,3,203.744366
19,5000,23,4,0.002516
19,5000,23,5,11.045527
19,5000,23,6,1.495628
31,5000,24,2,1.444764
31,5000,24,3,
31,5000,24,4,0.174114
31,5000,24,5,26.466388
31,5000,24,6,3.239898
71,5000,25,2,0.210543
71,5000,25,3,
71,5000,25,4,0.407508
71,5000,25,5,58.924269
71,5000,25,6,7.106232
71,100,26,2,0.529259
71,100,26,4,0.291033
71,100,26,6,27.241649
81,100,27,2,88.949093
81,100,27,4,0.00513
81,100,27,6,65.165208
3,100,28,2,2.148653
3,100,28,4,0.350081
3,100,28,6,
70,100,29,2,17.086914
70,100,29,4,0.004665
70,100,29,6,
32,100,30,2,10.50269
32,100,30,4,0.047424
32,100,30,6,
25,100,31,2,
25,100,31,4,0.013768
25,100,31,6,
40,100,32,2,396.633979
40,100,32,4,0.022738
40,100,32,6,
73,1000,26,2,
73,1000,26,4,0.006371
73,1000,26,6,15.120101
53,1000,27,2,0.310987
53,1000,27,4,0.003596
53,1000,27,6,37.365103
75,1000,28,2,5.641433
75,1000,28,4,0.137695
75,1000,28,6,71.644614
40,1000,29,2,10.435149
40,1000,29,4,0.14874
40,1000,29,6,
20,1000,30,2,32.848304
20,1000,30,4,0.01281
20,1000,30,6,
34,1000,31,2,457.862492
34,1000,31,4,0.006488
34,1000,31,6,
60,1000,32,2,
60,1000,32,4,0.011694
60,1000,32,6,
16,5000,26,2,18.277709
16,5000,26,4,0.003215
16,5000,26,6,15.011856
68,5000,27,2,0.796889
68,5000,27,4,0.003341
68,5000,27,6,32.29136
84,5000,28,2,0.344745
84,5000,28,4,0.002823
84,5000,28,6,69.469321
79,5000,29,2,6.928966
79,5000,29,4,0.011878
79,5000,29,6,
88,5000,30,2,21.932762
88,5000,30,4,0.00542
88,5000,30,6,
57,5000,31,2,50.712878
57,5000,31,4,0.005324
57,5000,31,6,
89,5000,32,2,44.398479
89,5000,32,4,0.023995
89,5000,32,6,
69,100,5,1,0.000001
69,100,5,2,0.000135
69,100,5,3,0.000016
69,100,5,4,0.000656
69,100,5,5,0.000003
69,100,5,6,0.000003
4,100,6,1,0.000003
4,100,6,2,0.00138
4,100,6,3,0.000032
4,100,6,4,0.000621
4,100,6,5,0.000005
4,100,6,6,0.000005
81,100,7,1,0.000011
81,100,7,2,0.000185
81,100,7,3,0.000069
81,100,7,4,0.000571
81,100,7,5,0.00001
81,100,7,6,0.000006
81,100,8,1,0.000058
81,100,8,2,0.000762
81,100,8,3,0.000176
81,100,8,4,0.000828
81,100,8,5,0.000021
81,100,8,6,0.000012
45,100,9,1,0.000239
45,100,9,2,0.000279
45,100,9,3,0.000421
45,100,9,4,0.000659
45,100,9,5,0.000048
45,100,9,6,0.000021
53,100,10,1,0.000946
53,100,10,2,0.000242
53,100,10,3,0.001006
53,100,10,4,0.000695
53,100,10,5,0.000114
53,100,10,6,0.000044
80,100,11,1,0.006331
80,100,11,2,0.004463
80,100,11,3,0.002374
80,100,11,4,0.000829
80,100,11,5,0.000275
80,100,11,6,0.000098
42,100,12,1,0.032456
42,100,12,2,0.540393
42,100,12,3,0.005595
42,100,12,4,0.001168
42,100,12,5,0.000649
42,100,12,6,0.000223
88,100,13,1,0.155924
88,100,13,2,0.035917
88,100,13,3,0.013209
88,100,13,4,0.001848
88,100,13,5,0.001496
88,100,13,6,0.000507
18,100,14,1,0.227933
18,100,14,2,0.023609
18,100,14,3,0.033854
18,100,14,4,0.001007
18,100,14,5,0.003417
18,100,14,6,0.00116
28,100,15,1,2.194483
28,100,15,2,0.516969
28,100,15,3,0.072087
28,100,15,4,0.001348
28,100,15,5,0.007758
28,100,15,6,0.002619
33,100,16,1,5.706134
33,100,16,2,0.00076
33,100,16,3,0.170248
33,100,16,4,0.001018
33,100,16,5,0.017487
33,100,16,6,0.005898
55,100,17,1,13.88172
55,100,17,2,0.067848
55,100,17,3,0.400343
55,100,17,4,0.001615
55,100,17,5,0.040123
55,100,17,6,0.013179
8,100,18,1,182.187595
8,100,18,2,0.382451
8,100,18,3,0.919619
8,100,18,4,0.001821
8,100,18,5,0.114042
8,100,18,6,0.02927
11,100,19,1,384.016344
11,100,19,2,0.745567
11,100,19,3,2.120741
11,100,19,4,0.002383
11,100,19,5,0.407114
11,100,19,6,0.064847
87,1000,5,1,0.000001
87,1000,5,2,0.000841
87,1000,5,3,0.000016
87,1000,5,4,0.000657
87,1000,5,5,0.000003
87,1000,5,6,0.000003
14,1000,6,1,0.000003
14,1000,6,2,0.00401
14,1000,6,3,0.000031
14,1000,6,4,0.000603
14,1000,6,5,0.000005
14,1000,6,6,0.000004
32,1000,7,1,0.000012
32,1000,7,2,0.005015
32,1000,7,3,0.000067
32,1000,7,4,0.0007
32,1000,7,5,0.000009
32,1000,7,6,0.000007
57,1000,8,1,0.00004
57,1000,8,2,0.012663
57,1000,8,3,0.000176
57,1000,8,4,0.000675
57,1000,8,5,0.00002
57,1000,8,6,0.000012
7,1000,9,1,0.000253
7,1000,9,2,0.004473
7,1000,9,3,0.00042
7,1000,9,4,0.000584
7,1000,9,5,0.000049
7,1000,9,6,0.000021
29,1000,10,1,0.000729
29,1000,10,2,0.035353
29,1000,10,3,0.000997
29,1000,10,4,0.000978
29,1000,10,5,0.000116
29,1000,10,6,0.000043
70,1000,11,1,0.00658
70,1000,11,2,0.020824
70,1000,11,3,0.00238
70,1000,11,4,0.000791
70,1000,11,5,0.000284
70,1000,11,6,0.000095
1,1000,12,1,0.035005
1,1000,12,2,0.026028
1,1000,12,3,0.005661
1,1000,12,4,0.001011
1,1000,12,5,0.000652
1,1000,12,6,0.000221
80,1000,13,1,0.372932
80,1000,13,2,0.038399
80,1000,13,3,0.013153
80,1000,13,4,0.001398
80,1000,13,5,0.001499
80,1000,13,6,0.000505
97,1000,14,1,1.187168
97,1000,14,2,0.004099
97,1000,14,3,0.030875
97,1000,14,4,0.000867
97,1000,14,5,0.003417
97,1000,14,6,0.001188
2,1000,15,1,0.705074
2,1000,15,2,0.015825
2,1000,15,3,0.071924
2,1000,15,4,0.001172
2,1000,15,5,0.007814
2,1000,15,6,0.002622
50,1000,16,1,35.472731
50,1000,16,2,0.248809
50,1000,16,3,0.170522
50,1000,16,4,0.001506
50,1000,16,5,0.017566
50,1000,16,6,0.005913
37,1000,17,1,21.204077
37,1000,17,2,0.023279
37,1000,17,3,0.400209
37,1000,17,4,0.001376
37,1000,17,5,0.039348
37,1000,17,6,0.013185
65,1000,18,1,401.244314
65,1000,18,2,0.00987
65,1000,18,3,0.918704
65,1000,18,4,0.001155
65,1000,18,5,0.111573
65,1000,18,6,0.029318
17,1000,19,1,
17,1000,19,2,25.407689
17,1000,19,3,2.122452
17,1000,19,4,0.002615
17,1000,19,5,0.395259
17,1000,19,6,0.064624
85,5000,5,1,0.000001
85,5000,5,2,0.000875
85,5000,5,3,0.000017
85,5000,5,4,0.000652
85,5000,5,5,0.000003
